"Accession","InterPro ID","InterPro Name","Name"
"A6P39_RS44975","[nan, nan, nan, nan, nan, nan, nan, nan, 'IPR049283', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-DUF6851-V-haloperoxidase","['Coil', nan, 'SignalP-TM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide C-region', 'Signal peptide H-region', 'Signal peptide N-region', 'DUF6851', 'PEROXIDASE-RELATED']"
"ASC82_RS31125","[nan, 'IPR016119', 'IPR036938', 'IPR052559', 'IPR055161']","Unintegrated-Br/Cl_peroxidase_C-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase-NapH1-like_2nd","['PAP2_haloperoxidase', nan, 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED', 'VCPO_2nd']"
"GQR42_RS20190","[nan, nan, 'IPR000326', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-P_Acid_Pase_2/haloperoxidase-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['PAP2_haloperoxidase', nan, 'PAP2', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
"H7J84_RS20035","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR001227', 'IPR006162', 'IPR009081', 'IPR009081', 'IPR013968', 'IPR014030', 'IPR014031', 'IPR014043', 'IPR014043', 'IPR016035', 'IPR016036', 'IPR016039', 'IPR016039', 'IPR016039', 'IPR016039', 'IPR018201', 'IPR018201', 'IPR020806', 'IPR020841', 'IPR020841', 'IPR020841', 'IPR036291', 'IPR036291', 'IPR036736', 'IPR036736', 'IPR050091']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Ac_transferase_dom_sf-Ppantetheine_attach_site-PP-bd_ACP-PP-bd_ACP-PKS_KR-Ketoacyl_synth_N-Ketoacyl_synth_C-Acyl_transferase_dom-Acyl_transferase_dom-Acyl_Trfase/lysoPLipase-Malonyl_transacylase_ACP-bd-Thiolase-like-Thiolase-like-Thiolase-like-Thiolase-like-Ketoacyl_synth_AS-Ketoacyl_synth_AS-PKS_PP-bd-PKS_Beta-ketoAc_synthase_dom-PKS_Beta-ketoAc_synthase_dom-PKS_Beta-ketoAc_synthase_dom-NAD(P)-bd_dom_sf-NAD(P)-bd_dom_sf-ACP-like_sf-ACP-like_sf-PKS_NRPS_Biosynth_Enz","['PKS_plus_SDR', 'KR_1_SDR_x', 'PKS', 'PKS', 'PKS_KR', '17clusters_betabranch_W', nan, nan, 'CurL-like_PKS_C', nan, 'PHOSPHOPANTETHEINE', 'CARRIER', 'PP-binding', 'KR', 'ketoacyl-synt', 'Ketoacyl-synt_C', 'PKS_AT', 'Acyl_transf_1', 'FabD/lysophospholipase-like', 'Probable ACP-binding domain of malonyl-CoA ACP transacylase', nan, nan, 'Thiolase-like', 'Thiolase-like', 'KS3_1', 'KS3_1', 'PKS_PP', 'KS3_2', 'KS3_2', 'PKS_KS', 'NAD(P)-binding Rossmann-fold domains', 'NAD(P)-binding Rossmann-fold domains', nan, 'ACP-like', 'FATTY ACID SYNTHASE']"
"WP_004434413.1","[nan, nan, nan, nan, 'IPR016119', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Br/Cl_peroxidase_C-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['PAP2_haloperoxidase', 'disorder_prediction', 'disorder_prediction', 'disorder_prediction', nan, 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
"WP_004581149.1","['IPR009197', 'IPR010799', 'IPR015995']","MlrC-MlrC_C-MlrC_N","['MlrC', 'MlrC_C', 'DUF1485']"
"WP_009077791.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR006311', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-TAT_signal-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['PAP2_haloperoxidase', nan, 'SignalP-TM', 'SignalP-noTM', 'SignalP-noTM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide H-region', 'Signal peptide C-region', 'Signal peptide N-region', 'TAT', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
"WP_009738728.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR036938', 'IPR052559', 'IPR055161']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase-NapH1-like_2nd","['PAP2_haloperoxidase', nan, 'SignalP-TM', 'unknown', 'SignalP-noTM', 'SignalP-noTM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide H-region', 'Signal peptide C-region', 'Signal peptide N-region', 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED', 'VCPO_2nd']"
"WP_011777591.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR001227', 'IPR006162', 'IPR009081', 'IPR009081', 'IPR009081', 'IPR011032', 'IPR013154', 'IPR013968', 'IPR014030', 'IPR014031', 'IPR014043', 'IPR014043', 'IPR016035', 'IPR016035', 'IPR016036', 'IPR016036', 'IPR016039', 'IPR016039', 'IPR016039', 'IPR018201', 'IPR018201', 'IPR020806', 'IPR020807', 'IPR020841', 'IPR020841', 'IPR020841', 'IPR020843', 'IPR036291', 'IPR036291', 'IPR036291', 'IPR036291', 'IPR036291', 'IPR036736', 'IPR036736', 'IPR036736', 'IPR042104', 'IPR049551', 'IPR049552', 'IPR049900', 'IPR050091']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Ac_transferase_dom_sf-Ppantetheine_attach_site-PP-bd_ACP-PP-bd_ACP-PP-bd_ACP-GroES-like_sf-ADH-like_N-PKS_KR-Ketoacyl_synth_N-Ketoacyl_synth_C-Acyl_transferase_dom-Acyl_transferase_dom-Acyl_Trfase/lysoPLipase-Acyl_Trfase/lysoPLipase-Malonyl_transacylase_ACP-bd-Malonyl_transacylase_ACP-bd-Thiolase-like-Thiolase-like-Thiolase-like-Ketoacyl_synth_AS-Ketoacyl_synth_AS-PKS_PP-bd-PKS_DH-PKS_Beta-ketoAc_synthase_dom-PKS_Beta-ketoAc_synthase_dom-PKS_Beta-ketoAc_synthase_dom-PKS_ER-NAD(P)-bd_dom_sf-NAD(P)-bd_dom_sf-NAD(P)-bd_dom_sf-NAD(P)-bd_dom_sf-NAD(P)-bd_dom_sf-ACP-like_sf-ACP-like_sf-ACP-like_sf-PKS_dehydratase_sf-PKS_DH_C-PKS_DH_N-PKS_mFAS_DH-PKS_NRPS_Biosynth_Enz","['disorder_prediction', 'disorder_prediction', 'KR_1_SDR_x', 'PKS', 'PKS', 'enoyl_red', 'KR_2_FAS_SDR_x', 'PKS_KR', '17clusters_betabranch_W', nan, nan, nan, nan, nan, nan, 'CurL-like_PKS_C', 'ADH_zinc_N_2', nan, 'PHOSPHOPANTETHEINE', 'CARRIER', 'CARRIER', 'PP-binding', 'GroES-like', 'ADH_N', 'KR', 'ketoacyl-synt', 'Ketoacyl-synt_C', 'PKS_AT', 'Acyl_transf_1', 'FabD/lysophospholipase-like', 'FabD/lysophospholipase-like', 'Probable ACP-binding domain of malonyl-CoA ACP transacylase', 'Probable ACP-binding domain of malonyl-CoA ACP transacylase', nan, 'Thiolase-like', 'Thiolase-like', 'KS3_1', 'KS3_1', 'PKS_PP', 'PKS_DH', 'KS3_2', 'KS3_2', 'PKS_KS', 'PKS_ER_names_mod', 'NAD(P)-binding Rossmann-fold domains', 'NAD(P)-binding Rossmann-fold domains', 'NAD(P)-binding Rossmann-fold domains', 'NAD(P)-binding Rossmann-fold domains', 'NAD(P)-binding Rossmann-fold domains', nan, 'ACP-like', 'ACP-like', 'Polyketide synthase dehydratase', 'PS-DH', 'PKS_DH_N', 'PKS_MFAS_DH', 'FATTY ACID SYNTHASE']"
"WP_013285680.1","[nan, nan, nan, 'IPR016119', 'IPR036938', 'IPR052559']","Unintegrated-Unintegrated-Unintegrated-Br/Cl_peroxidase_C-P_Acid_Pase_2/haloperoxi_sf-V-haloperoxidase","['disorder_prediction', 'disorder_prediction', 'disorder_prediction', nan, 'Acid phosphatase/Vanadium-dependent haloperoxidase', 'PEROXIDASE-RELATED']"
