Name,Sequence Name,Locustag,Accession,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
RNGMNOXGNASE,NC_004129,PFL_RS14080,WP_011061079.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_006677,GOX_RS08210,WP_228119338.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_007404,TBD_RS13855,WP_011313275.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_007777,FRANCCI3_RS12390,WP_011436877.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_007777,FRANCCI3_RS12390,WP_011436877.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_008278,FRAAL_RS20235,WP_011605750.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_008278,FRAAL_RS20235,WP_011605750.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_008702,AZO_RS19675,WP_011767643.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
Non cytoplasmic domain,NC_008702,AZO_RS19675,WP_011767643.1,PHOBIUS,NON_CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Non cytoplasmic domain
Cytoplasmic domain,NC_008702,AZO_RS19675,WP_011767643.1,PHOBIUS,CYTOPLASMIC_DOMAIN,,Unintegrated,Unintegrated,Cytoplasmic domain
Transmembrane region,NC_008702,AZO_RS19675,WP_011767643.1,PHOBIUS,TRANSMEMBRANE,,Unintegrated,Unintegrated,Transmembrane region
RNGMNOXGNASE,NC_008825,MPE_RS06710,WP_011828931.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
RNGMNOXGNASE,NC_011770,PLES_RS13410,WP_003097588.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
disorder_prediction,NC_013131,CACI_RS13575,WP_041541692.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
RNGMNOXGNASE,NC_013131,CACI_RS13575,WP_041541692.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
,NC_013131,CACI_RS13575,WP_041541692.1,GENE3D,G3DSA:3.30.9.100,,Unintegrated,Unintegrated,
RNGMNOXGNASE,NC_013422,HNEAP_RS11155,WP_012825083.1,PRINTS,PR00420,,Unintegrated,Unintegrated,RNGMNOXGNASE
