accession,locustag
WSM56690.1,OG963_25345
WSY93547.1,OH809_23490
WTE11639.1,OG924_15990
WSY67953.1,OHA61_16370
WTN73993.1,OHN15_17470
WUN25522.1,OG878_22305
WTJ05308.1,OHA45_19920
WSL40328.1,OG309_16440
WSC55162.1,OG808_24515
WTJ52628.1,OH782_23535
WUC94872.1,OG710_15365
WTH46106.1,OH781_17650
WSC37718.1,OHA08_20600
WTZ66156.1,OG209_23055
WSX33518.1,OG520_41900
WTC86940.1,OH733_09375
WUL24784.1,OHA88_26075
WSJ18277.1,OG326_13090
WUS08937.1,OG322_20515
WUS34720.1,OG357_35475
WUG96001.1,OHB29_24965
WTE34645.1,OH735_16505
WTG43256.1,OHA20_25710
WUM92239.1,OG905_18410
WSN33650.1,OG711_22190
WSJ23470.1,OG384_16485
WSF85998.1,OIE70_24605
WTX88411.1,OG440_16215
WTK29113.1,OG612_18315
WTA44591.1,OH821_19805
WSL21690.1,OG302_19710
WUJ79269.1,OHS71_18615
WSM14780.1,OHB49_23720
WSY75531.1,OH805_16035
WTE60623.1,OG784_18495
WTO92241.1,OG911_25620
WSJ68787.1,OG294_23195
WUI05404.1,OHQ87_19365
WTD34231.1,OHB03_19450
WSQ28883.1,OG763_25460
WTR79208.1,OG830_17695
WSC45829.1,OIE61_18725
WSL99502.1,OG957_22635
WSD25493.1,OHA26_19465
WUS39773.1,OG500_22350
WSA69042.1,OIE65_19750
WST69732.1,OG268_21045
WSL69876.1,OIE75_20865
WTP15734.1,OHT93_21110
WTH08171.1,OH776_19450
WSJ96960.1,OG395_29835
WUP25755.1,OG860_18630
WTD89682.1,OG891_19835
WTY65629.1,OG741_22420
WTE52519.1,OG987_18390
WTN82934.1,OHN35_24730
WSV24152.1,OG554_28925
WSL85198.1,OG894_23870
WSG81809.1,OIE76_18725
WUC20677.1,OHA33_18370
WSC70145.1,OG807_17720
WTD70440.1,OH763_27610
WTU66316.1,OHU31_17940
WTI88034.1,OHB17_18470
WSP40140.1,OG247_24455
WTC81184.1,OH719_27035
WSA77536.1,OG930_19085
WSJ52553.1,OG243_25165
