Name,Accession,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
Coil,WP_041407644.1,COILS,Coil,,Unintegrated,Unintegrated,Coil
"Glutamine synthetase/guanido kinase, catalytic domain",WP_041407644.1,GENE3D,G3DSA:3.30.590.10,,Unintegrated,Unintegrated,"Glutamine synthetase/guanido kinase, catalytic domain"
,WP_041407644.1,GENE3D,G3DSA:1.20.120.1560,,Unintegrated,Unintegrated,
PKS,WP_013915596.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
PKS,WP_013915596.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
KR_2_SDR_x,WP_013915596.1,CDD,cd08953,,Unintegrated,Unintegrated,KR_2_SDR_x
AdoMet_MTases,WP_013915596.1,CDD,cd02440,,Unintegrated,Unintegrated,AdoMet_MTases
disorder_prediction,WP_013915596.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_013915596.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_013915596.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_013915596.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,WP_013915596.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
17clusters_betabranch_W,WP_013915596.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
PKS_KR,WP_013915596.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
,WP_013915596.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
,WP_013915596.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
,WP_013915596.1,GENE3D,G3DSA:1.10.1240.100,,Unintegrated,Unintegrated,
