"Accession","InterPro ID","InterPro Name","Name"
"A6A29_RS39635","[nan, nan, nan, nan, 'IPR000551', 'IPR000551', 'IPR000551', 'IPR000551', 'IPR009061', 'IPR012925', 'IPR015358', 'IPR036244', 'IPR036244', 'IPR047057']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-MerR-type_HTH_dom-MerR-type_HTH_dom-MerR-type_HTH_dom-MerR-type_HTH_dom-DNA-bd_dom_put_sf-TipAS_dom-Tscrpt_reg_MerR_DNA-bd-TipA-like_antibiotic-bd-TipA-like_antibiotic-bd-MerR_fam","['HTH_TipAL-Mta', 'Coil', 'disorder_prediction', nan, 'HTHMERR', 'HTH_MERR_2', 'merrmega3', 'MerR', 'Putative DNA-binding domain', 'TipAS', 'MerR-DNA-bind', nan, 'Antibiotic binding domain of TipA-like multidrug resistance regulators', 'REDOX-CYCLING DRUG-SENSING TRANSCRIPTIONAL ACTIVATOR SOXR']"
"DV947_RS01620","['IPR002747', 'IPR023228', 'IPR023228', 'IPR046469']","SAM_OH_AdoTrfase-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_HAT_N","['CHLORINASE MJ1651', nan, 'Bacterial fluorinating enzyme, N-terminal domain', 'SAM_HAT_N']"
"GFB63_RS06170","['IPR002747', 'IPR002747', 'IPR023227', 'IPR023227', 'IPR023228', 'IPR023228', 'IPR046469', 'IPR046470']","SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_HAT_N-SAM_HAT_C","['UCP006779', 'CHLORINASE MJ1651', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', 'SAM_HAT_N', 'SAM_HAT_C']"
"SNAS_RS36825","['IPR002747', 'IPR002747', 'IPR023227', 'IPR023227', 'IPR023228', 'IPR023228', 'IPR046469', 'IPR046470']","SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_HAT_N-SAM_HAT_C","['UCP006779', 'CHLORINASE MJ1651', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', 'SAM_HAT_N', 'SAM_HAT_C']"
"STU_RS11130","['IPR002747', 'IPR023228', 'IPR023228', 'IPR046469']","SAM_OH_AdoTrfase-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_HAT_N","['CHLORINASE MJ1651', nan, 'Bacterial fluorinating enzyme, N-terminal domain', 'SAM_HAT_N']"
"WP_003262328.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR003439', 'IPR003439', 'IPR003593', 'IPR011527', 'IPR011527', 'IPR017871', 'IPR027417', 'IPR027417', 'IPR036640', 'IPR036640', 'IPR050835']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-ABC_transporter-like_ATP-bd-ABC_transporter-like_ATP-bd-AAA+_ATPase-ABC1_TM_dom-ABC1_TM_dom-ABC_transporter-like_CS-P-loop_NTPase-P-loop_NTPase-ABC1_TM_sf-ABC1_TM_sf-ABC_transporter_sub-D","['ABCD_peroxisomal_ALDP', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'Cytoplasmic domain', 'Cytoplasmic domain', 'Cytoplasmic domain', 'Non cytoplasmic domain', 'Transmembrane region', 'Transmembrane region', 'Transmembrane region', 'Non cytoplasmic domain', 'Transmembrane region', 'ABC_TRANSPORTER_2', 'ABC_tran', 'AAA_5', 'ABC_TM1F', 'ABC_membrane_2', 'ABC_TRANSPORTER_1', nan, 'P-loop containing nucleoside triphosphate hydrolases', 'ABC transporter type 1, transmembrane domain', 'ABC transporter transmembrane region', 'ATP-BINDING CASSETTE, SUB-FAMILY D MEMBER']"
"WP_003335759.1","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR000873', 'IPR001031', 'IPR001242', 'IPR006162', 'IPR006162', 'IPR009081', 'IPR009081', 'IPR009081', 'IPR010071', 'IPR020459', 'IPR020806', 'IPR020845', 'IPR020845', 'IPR023213', 'IPR025110', 'IPR029058', 'IPR029058', 'IPR036736', 'IPR036736', 'IPR036736', 'IPR045851', 'IPR045851']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-AMP-dep_synth/lig_dom-Thioesterase-Condensatn-Ppantetheine_attach_site-Ppantetheine_attach_site-PP-bd_ACP-PP-bd_ACP-PP-bd_ACP-AA_adenyl_dom-AMP-binding-PKS_PP-bd-AMP-binding_CS-AMP-binding_CS-CAT-like_dom_sf-AMP-bd_C-AB_hydrolase_fold-AB_hydrolase_fold-ACP-like_sf-ACP-like_sf-ACP-like_sf-AMP-bd_C_sf-AMP-bd_C_sf","['NONRIBOSOMAL PEPTIDE SYNTHETASE', 'Coil', 'Coil', 'PRK04813.1', 'A_NRPS', 'A_NRPS', 'LCL_NRPS-like', 'Acetyl-CoA synthetase-like', 'Acetyl-CoA synthetase-like', 'CoA-dependent acyltransferases', 'CoA-dependent acyltransferases', 'CoA-dependent acyltransferases', 'CoA-dependent acyltransferases', nan, 'Nonribosomal peptide synthetase, condensation domain', nan, 'Luciferase; Domain 3', 'Helix hairpin bin', 'AMP-binding', 'Thioesterase', 'Condensation', 'PHOSPHOPANTETHEINE', 'PHOSPHOPANTETHEINE', 'CARRIER', 'CARRIER', 'PP-binding', 'AA-adenyl-dom', 'AMPBINDING', 'PKS_PP', 'AMP_BINDING', 'AMP_BINDING', nan, 'AMP-binding_C', 'alpha/beta-Hydrolases', 'alpha/beta hydrolase', 'ACP-like', 'ACP-like', nan, nan, nan]"
"WP_004940355.1","[nan, nan, 'IPR000551', 'IPR000551', 'IPR000551', 'IPR000551', 'IPR000551', 'IPR009061', 'IPR012925', 'IPR036244', 'IPR036244', 'IPR047057']","Unintegrated-Unintegrated-MerR-type_HTH_dom-MerR-type_HTH_dom-MerR-type_HTH_dom-MerR-type_HTH_dom-MerR-type_HTH_dom-DNA-bd_dom_put_sf-TipAS_dom-TipA-like_antibiotic-bd-TipA-like_antibiotic-bd-MerR_fam","['HTH_TipAL-Mta', nan, 'HTHMERR', 'HTH_MERR_1', 'HTH_MERR_2', 'merrmega3', 'MerR_1', 'Putative DNA-binding domain', 'TipAS', nan, 'Antibiotic binding domain of TipA-like multidrug resistance regulators', 'REDOX-CYCLING DRUG-SENSING TRANSCRIPTIONAL ACTIVATOR SOXR']"
"WP_011680730.1","['IPR002747', 'IPR002747', 'IPR002747', 'IPR002747', 'IPR002747', 'IPR002747', 'IPR002747', 'IPR002747', 'IPR002747', 'IPR002747', 'IPR023227', 'IPR023227', 'IPR023227', 'IPR023227', 'IPR023227', 'IPR023227', 'IPR023227', 'IPR023227', 'IPR023227', 'IPR023227', 'IPR023228', 'IPR023228', 'IPR023228', 'IPR023228', 'IPR023228', 'IPR023228', 'IPR023228', 'IPR023228', 'IPR023228', 'IPR023228', 'IPR046469', 'IPR046469', 'IPR046469', 'IPR046469', 'IPR046469', 'IPR046470', 'IPR046470', 'IPR046470', 'IPR046470', 'IPR046470']","SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_HAT_N-SAM_HAT_N-SAM_HAT_N-SAM_HAT_N-SAM_HAT_N-SAM_HAT_C-SAM_HAT_C-SAM_HAT_C-SAM_HAT_C-SAM_HAT_C","['UCP006779', 'CHLORINASE MJ1651', 'UCP006779', 'CHLORINASE MJ1651', 'UCP006779', 'CHLORINASE MJ1651', 'UCP006779', 'CHLORINASE MJ1651', 'UCP006779', 'CHLORINASE MJ1651', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', 'SAM_HAT_N', 'SAM_HAT_N', 'SAM_HAT_N', 'SAM_HAT_N', 'SAM_HAT_N', 'SAM_HAT_C', 'SAM_HAT_C', 'SAM_HAT_C', 'SAM_HAT_C', 'SAM_HAT_C']"
"WP_011904934.1","['IPR002747', 'IPR002747', 'IPR002747', 'IPR002747', 'IPR023227', 'IPR023227', 'IPR023227', 'IPR023227', 'IPR023228', 'IPR023228', 'IPR023228', 'IPR023228', 'IPR046469', 'IPR046469', 'IPR046470', 'IPR046470']","SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_HAT_N-SAM_HAT_N-SAM_HAT_C-SAM_HAT_C","['UCP006779', 'CHLORINASE MJ1651', 'UCP006779', 'CHLORINASE MJ1651', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', 'SAM_HAT_N', 'SAM_HAT_N', 'SAM_HAT_C', 'SAM_HAT_C']"
"WP_012409844.1","['IPR002747', 'IPR002747', 'IPR023227', 'IPR023227', 'IPR023228', 'IPR023228', 'IPR046469', 'IPR046470']","SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_HAT_N-SAM_HAT_C","['UCP006779', 'CHLORINASE MJ1651', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', 'SAM_HAT_N', 'SAM_HAT_C']"
"WP_013798885.1","['IPR002747', 'IPR002747', 'IPR023227', 'IPR023227', 'IPR023228', 'IPR023228', 'IPR046469', 'IPR046470']","SAM_OH_AdoTrfase-SAM_OH_AdoTrfase-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_C_sf-SAM_OH_AdoTrfase_N_sf-SAM_OH_AdoTrfase_N_sf-SAM_HAT_N-SAM_HAT_C","['UCP006779', 'CHLORINASE MJ1651', 'Bacterial fluorinating enzyme like', 'Bacterial fluorinating enzyme, C-terminal domain', nan, 'Bacterial fluorinating enzyme, N-terminal domain', 'SAM_HAT_N', 'SAM_HAT_C']"
