Name,Sequence Name,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
PKS,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
PKS,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
KR_2_SDR_x,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,CDD,cd08953,,Unintegrated,Unintegrated,KR_2_SDR_x
AdoMet_MTases,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,CDD,cd02440,,Unintegrated,Unintegrated,AdoMet_MTases
disorder_prediction,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
disorder_prediction,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
17clusters_betabranch_W,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,SMART,SM01294,,Unintegrated,Unintegrated,17clusters_betabranch_W
PKS_KR,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,SMART,SM00822,,Unintegrated,Unintegrated,PKS_KR
,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,GENE3D,G3DSA:3.40.50.720,,Unintegrated,Unintegrated,
,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,GENE3D,G3DSA:3.30.70.3290,,Unintegrated,Unintegrated,
,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,GENE3D,G3DSA:1.10.1240.100,,Unintegrated,Unintegrated,
CurL-like_PKS_C,NC_015690|c1887119-1990282|1919373-1929602|+|KNP414_RS08410|SDR_family_NAD(P)-dependent_oxidoreductase|WP_013915596.1,PFAM,PF22621,,Unintegrated,Unintegrated,CurL-like_PKS_C
PKS,NC_016935|c2418317-2521499|2450569-2460798|+|PM3016_RS10825|SDR_family_NAD(P)-dependent_oxidoreductase|WP_014369465.1,CDD,cd00833,,Unintegrated,Unintegrated,PKS
