Accession	Organism	TaxID	Taxonomic_Lineage
WP_011147706.1	  Photorhabdus laumondii	2218628	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Photorhabdus
WP_011147717.1	  Photorhabdus	29487	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae
WP_004521521.1	  Burkholderia pseudomallei	28450	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group
WP_011553644.1	  Myxococcus	32	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae
WP_011554408.1	  Myxococcus	32	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae
WP_011554410.1	  Myxococcus	32	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae
WP_225909353.1	  Myxococcus	32	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae
WP_012401074.1	  Paraburkholderia phymatum	148447	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia
WP_012599727.1	  Gloeothece citriformis	2546356	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Aphanothecaceae; Gloeothece
WP_012765046.1	  Musicola paradisiaca	69223	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Musicola
WP_015818150.1	  Teredinibacter turnerae	2426	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Teredinibacter
WP_012823834.1	  Halothiobacillus neapolitanus	927	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Chromatiales; Halothiobacillaceae; Halothiobacillus
WP_013106347.1	  Thiomonas arsenitoxydans	426114	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiales genera incertae sedis; Thiomonas
WP_010846017.1	  Xenorhabdus nematophila	628	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Xenorhabdus
WP_013186529.1	  Croceibacter atlanticus	313588	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Croceibacter
WP_013215366.1	  Hyphomicrobium denitrificans	53399	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Hyphomicrobium
WP_002617302.1	  Stigmatella aurantiaca	41	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Stigmatella
WP_013598668.1	  Weeksella	1013	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae
WP_013690410.1	  Burkholderia gladioli	28095	
WP_013697623.1	  Burkholderia gladioli	28095	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia
WP_013940228.1	  Corallococcus macrosporus	35	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Corallococcus
WP_013993410.1	  Zobellia	112040	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae
WP_014148012.1	  Methylotuvimicrobium alcaliphilum	271065	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylotuvimicrobium
WP_014393752.1	  Corallococcus coralloides	184914	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Corallococcus
WP_014561331.1	  Ignavibacterium album	591197	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Ignavibacteriota; Ignavibacteria; Ignavibacteriales; Ignavibacteriaceae; Ignavibacterium
WP_014781671.1	  Aequorivita sublithincola	101385	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Aequorivita
WP_015023866.1	  Psychroflexus torquis	57029	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Psychroflexus
WP_015207074.1	  Cylindrospermum stagnale	142864	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Cylindrospermum
WP_015209735.1	  Cylindrospermum stagnale	142864	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Cylindrospermum
WP_004944602.1	  Serratia	613	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae
WP_080682627.1	  Sorangium cellulosum	56	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Sorangium
WP_004192781.1	  Burkholderia	32008	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae
WP_009630726.1	  Synechocystis sp. PCC 7509	927677	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Merismopediaceae; Synechocystis; unclassified Synechocystis
WP_041495419.1	  Nonlabens marinus	930802	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Nonlabens
WP_096374551.1	  Pseudomonas chlororaphis	587753	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas chlororaphis group
WP_096576682.1	  Anabaenopsis circularis	109266	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nodulariaceae; Anabaenopsis
WP_096600705.1	  Calothrix sp. NIES-2100	1954172	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Calotrichaceae; Calothrix; unclassified Calothrix
WP_096600968.1	  Calothrix sp. NIES-2100	1954172	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Calotrichaceae; Calothrix; unclassified Calothrix
WP_096604109.1	  Calothrix sp. NIES-2100	1954172	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Calotrichaceae; Calothrix; unclassified Calothrix
WP_096647144.1	  Calothrix brevissima	938406	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Calotrichaceae; Calothrix
WP_096539284.1	  Nostoc linckia	92942	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc
