Sequence Name,Locustag,Accession,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,MOBIDB_LITE,mobidb-lite,,Unintegrated,Unintegrated,disorder_prediction
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,PANTHER,PTHR45527,,Unintegrated,Unintegrated,NONRIBOSOMAL PEPTIDE SYNTHETASE
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,NCBIFAM,NF003417,,Unintegrated,Unintegrated,PRK04813.1
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,CDD,cd05930,,Unintegrated,Unintegrated,A_NRPS
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,CDD,cd17646,,Unintegrated,Unintegrated,A_NRPS_AB3403-like
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,CDD,cd19540,,Unintegrated,Unintegrated,LCL_NRPS-like
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,CDD,cd19543,,Unintegrated,Unintegrated,DCL_NRPS
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,GENE3D,G3DSA:3.40.50.980,,Unintegrated,Unintegrated,
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,GENE3D,G3DSA:3.30.559.30,,Unintegrated,Unintegrated,"Nonribosomal peptide synthetase, condensation domain"
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,GENE3D,G3DSA:2.30.38.10,,Unintegrated,Unintegrated,Luciferase; Domain 3
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
NZ_JACJIE010000005,FHS33_RS13325,WP_142191419.1,SUPERFAMILY,SSF56801,,Unintegrated,Unintegrated,Acetyl-CoA synthetase-like
