Sequence Name,Accession,InterPro ID,InterPro Name,Name
NC_005126,WP_011147706.1,"[nan, nan, 'IPR003347', 'IPR003347', 'IPR041667', 'IPR050910']",Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8-JMJD6_ArgDemeth/LysHydrox,"['Cupin', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8', 'ARGININE DEMETHYLASE AND LYSYL-HYDROXYLASE JMJD']"
NC_005126,WP_011147717.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_006350,WP_004521521.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_008095,WP_011553644.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_008095,WP_011554408.1,"[nan, nan, nan, nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'Non cytoplasmic domain', 'Cytoplasmic domain', 'Transmembrane region', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_008095,WP_011554410.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_008095,WP_225909353.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_010622,WP_012401074.1,"[nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_011738,WP_012599727.1,"[nan, nan, nan, 'IPR003347', 'IPR003347', 'IPR041667']",Unintegrated-Unintegrated-Unintegrated-JmjC_dom-JmjC_dom-Cupin_8,"['Cupin', 'HYPOXIA-INDUCIBLE FACTOR 1 ALPHA INHIBITOR-RELATED', 'Clavaminate synthase-like', 'JMJC', 'cupin_9', 'Cupin_8']"
NC_012880,WP_012765046.1,"[nan, nan, 'IPR041667', 'IPR050910']",Unintegrated-Unintegrated-Cupin_8-JMJD6_ArgDemeth/LysHydrox,"['Cupin', 'Clavaminate synthase-like', 'Cupin_8', 'ARGININE DEMETHYLASE AND LYSYL-HYDROXYLASE JMJD']"
