"Accession","InterPro ID","InterPro Name","Name"
"AO902_RS02495","[nan, nan, 'IPR006905', 'IPR036188', 'IPR036188', 'IPR050816']","Unintegrated-Unintegrated-Flavin_halogenase-FAD/NAD-bd_sf-FAD/NAD-bd_sf-Flavin-dep_Halogenase_NPB","['RNGMNOXGNASE', 'unknown', 'Trp_halogenase', nan, 'FAD/NAD(P)-binding domain', 'FAD-BINDING PROTEIN']"
"AQ611_RS16275","['IPR000960', 'IPR000960', 'IPR020946', 'IPR036188', 'IPR036188', 'IPR036188', 'IPR050346']","Flavin_mOase-Flavin_mOase-Flavin_mOase-like-FAD/NAD-bd_sf-FAD/NAD-bd_sf-FAD/NAD-bd_sf-FMO-like","['FMO', 'FMOXYGENASE', 'FMO-like', nan, 'FAD/NAD(P)-binding domain', 'FAD/NAD(P)-binding domain', 'DIMETHYLANILINE MONOOXYGENASE']"
"AQI94_RS03325","[nan, nan, nan, nan, 'IPR002938', 'IPR002938', 'IPR036188', 'IPR036188', 'IPR036188', 'IPR036188', 'IPR050816', 'IPR050816', 'IPR053908', 'IPR053908']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-FAD-bd-FAD-bd-FAD/NAD-bd_sf-FAD/NAD-bd_sf-FAD/NAD-bd_sf-FAD/NAD-bd_sf-Flavin-dep_Halogenase_NPB-Flavin-dep_Halogenase_NPB-CmlS_C-CmlS_C","['halo_ClmS', 'RNGMNOXGNASE', 'halo_ClmS', 'RNGMNOXGNASE', 'FAD_binding_3', 'FAD_binding_3', nan, 'FAD/NAD(P)-binding domain', nan, 'FAD/NAD(P)-binding domain', 'FAD-BINDING PROTEIN', 'FAD-BINDING PROTEIN', 'CmlS_C', 'CmlS_C']"
"BLU60_RS41550","[nan, nan, nan, nan, nan, 'IPR000960', 'IPR020946', 'IPR036188', 'IPR036188', 'IPR050346']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Flavin_mOase-Flavin_mOase-like-FAD/NAD-bd_sf-FAD/NAD-bd_sf-FMO-like","['Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide H-region', 'Signal peptide C-region', 'Signal peptide N-region', 'FMOXYGENASE', 'FMO-like', nan, 'FAD/NAD(P)-binding domain', 'DIMETHYLANILINE MONOOXYGENASE']"
"CAP31_RS04730","['IPR006905', 'IPR036188', 'IPR036188', 'IPR050816']","Flavin_halogenase-FAD/NAD-bd_sf-FAD/NAD-bd_sf-Flavin-dep_Halogenase_NPB","['Trp_halogenase', nan, 'FAD/NAD(P)-binding domain', 'FAD-BINDING PROTEIN']"
"CDC35_RS09230","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'IPR006905', 'IPR036188', 'IPR036188', 'IPR050816']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Flavin_halogenase-FAD/NAD-bd_sf-FAD/NAD-bd_sf-Flavin-dep_Halogenase_NPB","['unknown', 'unknown', 'unknown', 'Non cytoplasmic domain', 'Cytoplasmic domain', 'Cytoplasmic domain', 'Transmembrane region', 'Transmembrane region', 'Transmembrane region', 'Non cytoplasmic domain', 'Trp_halogenase', nan, 'FAD/NAD(P)-binding domain', 'FAD-BINDING PROTEIN']"
"DJ013_RS13665","['IPR002938', 'IPR036188', 'IPR036188', 'IPR050816']","FAD-bd-FAD/NAD-bd_sf-FAD/NAD-bd_sf-Flavin-dep_Halogenase_NPB","['FAD_binding_3', nan, 'FAD/NAD(P)-binding domain', 'FAD-BINDING PROTEIN']"
"EIJ81_RS12305","['IPR002938', 'IPR036188', 'IPR036188', 'IPR050816']","FAD-bd-FAD/NAD-bd_sf-FAD/NAD-bd_sf-Flavin-dep_Halogenase_NPB","['FAD_binding_3', nan, 'FAD/NAD(P)-binding domain', 'FAD-BINDING PROTEIN']"
"FHS41_RS25685","[nan, nan, nan, nan, nan, nan, 'IPR006905', 'IPR006905', 'IPR036188', 'IPR036188', 'IPR036188', 'IPR036188', 'IPR050816', 'IPR050816']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Flavin_halogenase-Flavin_halogenase-FAD/NAD-bd_sf-FAD/NAD-bd_sf-FAD/NAD-bd_sf-FAD/NAD-bd_sf-Flavin-dep_Halogenase_NPB-Flavin-dep_Halogenase_NPB","['disorder_prediction', 'RNGMNOXGNASE', nan, 'disorder_prediction', 'RNGMNOXGNASE', nan, 'Trp_halogenase', 'Trp_halogenase', 'FAD/NAD(P)-binding domain', nan, 'FAD/NAD(P)-binding domain', nan, 'FAD-BINDING PROTEIN', 'FAD-BINDING PROTEIN']"
"G7069_RS04615","[nan, nan, nan, nan, nan, nan, 'IPR002938', 'IPR036188', 'IPR036188', 'IPR050816']","Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-Unintegrated-FAD-bd-FAD/NAD-bd_sf-FAD/NAD-bd_sf-Flavin-dep_Halogenase_NPB","['SignalP-noTM', 'Non cytoplasmic domain', 'Signal Peptide', 'Signal peptide H-region', 'Signal peptide N-region', 'Signal peptide C-region', 'FAD_binding_3', nan, 'FAD/NAD(P)-binding domain', 'FAD-BINDING PROTEIN']"
