Accession	Organism	TaxID	Taxonomic_Lineage
WP_011039072.1	  Xanthomonas campestris	339	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Xanthomonas
WP_011039084.1	  Xanthomonas campestris	339	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Xanthomonas
WP_011061076.1	  Pseudomonas	286	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
WP_011061079.1	  Pseudomonas	286	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
WP_011061881.1	  Pseudomonas	286	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
WP_011061883.1	  Pseudomonas	286	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
WP_011112697.1	  Nitrosomonas	914	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae
WP_164921296.1	  Rhodopirellula baltica	265606	cellular organisms; Bacteria; Pseudomonadati; PVC group; Planctomycetota; Planctomycetia; Pirellulales; Pirellulaceae; Rhodopirellula
WP_011132267.1	  Prochlorococcus	1218	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae
WP_164928898.1	  Gloeobacter violaceus	33072	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Gloeobacterales; Gloeobacteraceae; Gloeobacter
WP_011167476.1	  Pseudomonas	286	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
WP_004549222.1	  Burkholderia	32008	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae
WP_228119338.1	  Gluconobacter oxydans	442	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Gluconobacter
WP_011261511.1	  Aliivibrio fischeri	668	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Aliivibrio
XP_746311.1	  Aspergillus fumigatus Af293	330879	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus subgen. Fumigati; Aspergillus fumigatus
WP_011313275.1	  Thiobacillus denitrificans	36861	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Nitrosomonadales; Thiobacillaceae; Thiobacillus
WP_011349399.1	  Burkholderia lata	482957	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex
WP_011349401.1	  Burkholderia lata	482957	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex
WP_011407423.1	  Xanthomonas oryzae	347	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Lysobacteraceae; Xanthomonas
WP_011436877.1	  Frankia casuarinae	106370	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Frankiales; Frankiaceae; Frankia
WP_011445470.1	  Novosphingobium aromaticivorans	48935	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium
WP_011484217.1	  Polaromonas sp. JS666	296591	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Polaromonas; unclassified Polaromonas
WP_011531771.1	  Pseudomonas entomophila	312306	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
WP_011598503.1	  Rhodococcus	1827	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae
WP_011605750.1	  Frankia	1854	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Frankiales; Frankiaceae
WP_011635832.1	  Shewanella frigidimarina	56812	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella
WP_011731522.1	  Mycolicibacterium smegmatis	1772	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycolicibacterium
WP_011767643.1	  Azoarcus olearius	418699	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Rhodocyclales; Zoogloeaceae; Azoarcus
WP_025925152.1	  Prochlorococcus	1218	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae
WP_011820013.1	  Prochlorococcus marinus	1219	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus
WP_011828931.1	  Methylibium petroleiphilum	105560	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sphaerotilaceae; Methylibium
WP_011853128.1	  Burkholderia pseudomallei	28450	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group
WP_011853811.1	  Burkholderia pseudomallei	28450	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group
WP_011853813.1	  Burkholderia pseudomallei	28450	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group
WP_009948842.1	  Saccharopolyspora	1835	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Pseudonocardiales; Pseudonocardiaceae
