Accession	Organism	TaxID	Taxonomic_Lineage
STU_RS11130	Not found	Not found	Not found
WP_011904934.1	  Salinispora tropica	168695	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Salinispora
WP_012409844.1	  Nostoc punctiforme	272131	cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae; Nostoc
WP_015899040.1	  Persephonella	182899	cellular organisms; Bacteria; Pseudomonadati; Aquificota; Aquificia; Aquificales; Hydrogenothermaceae
WP_043812505.1	  Desulfomicrobium baculatum	899	cellular organisms; Bacteria; Pseudomonadati; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales; Desulfomicrobiaceae; Desulfomicrobium
SNAS_RS36825	Not found	Not found	Not found
WP_041407644.1	  Segniliparus rotundus	286802	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Segniliparaceae; Segniliparus
WP_013798885.1	  Methanotorris igneus	2189	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanomada group; Methanococci; Methanococcales; Methanocaldococcaceae; Methanotorris
WP_013915596.1	  Paenibacillus mucilaginosus	61624	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
WP_014369465.1	  Paenibacillus mucilaginosus	61624	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
WP_014607963.1	  Streptococcus	1301	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Streptococcaceae
WP_011680730.1	  Streptococcus thermophilus	1308	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
WP_014984241.1	  Nocardia brasiliensis	37326	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Nocardia
WP_015300510.1	  Halovivax ruber	387341	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Halobacteria; Halobacteriales; Natrialbaceae; Halovivax
WP_020739607.1	  Sorangium cellulosum	56	cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Sorangium
WP_031504466.1	  Pseudothermotoga	1643951	cellular organisms; Bacteria; Thermotogati; Thermotogota; Thermotogae; Thermotogales; Thermotogaceae
XP_014540705.1	  Metarhizium brunneum	500148	
XP_018063713.1	  Mollisia scopiformis	149040	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Leotiomycetes; Helotiales; Mollisiaceae; Mollisia
XP_025381534.1	  Acaromyces ingoldii	215250	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Ustilaginomycotina; Exobasidiomycetes; Exobasidiales; Cryptobasidiaceae; Acaromyces
XP_025455221.1	  Aspergillus niger CBS 101883	1450533	
WP_041075526.1	  Thermotoga caldifontis	1508419	
WP_068513665.1	  Caldimicrobium thiodismutans	1653476	
